datetime,Achat Ecocup,Biere 25cl,Cafe,Carte Cashless,Cidre,Croque Choco,Frite,Hot-Dog,Menu Classique,Menu Vegetarien,Remboursement Ecocup,Sandwich Vege,Soft,Tee-shirts
2019-04-05 22:59:00,5,18,,1,5,,5,2,2,2,,,2,
2019-04-05 23:00:00,1,27,,1,5,,2,3,2,1,,,3,
2019-04-05 23:01:00,1,20,,1,2,,4,3,3,,,,6,
2019-04-05 23:02:00,3,22,,,1,,,,,,1,,,
2019-04-05 23:03:00,6,30,,2,,,2,2,,,,,6,
2019-04-05 23:04:00,3,25,,1,1,1,4,3,,,,1,2,
2019-04-05 23:05:00,,27,,1,6,2,1,,6,,,,,
2019-04-05 23:06:00,,29,,1,1,,3,3,2,1,,,5,
2019-04-05 23:07:00,2,11,,,5,1,1,1,,,,,6,
2019-04-05 23:08:00,1,22,,,1,,,,1,,,,1,
2019-04-05 23:09:00,4,36,,1,,1,1,2,,,,,4,
2019-04-05 23:10:00,2,27,,,,,,2,,1,,,2,
2019-04-05 23:11:00,,27,,,1,,,,2,,,,6,
2019-04-05 23:12:00,,32,,,,,,1,,,,,,
2019-04-05 23:13:00,,13,,,,,,1,1,,,,1,1
2019-04-05 23:14:00,4,34,,,,,2,,,,,,,
2019-04-05 23:15:00,1,26,,1,3,,,,,,,,,
2019-04-05 23:16:00,2,19,,,2,,,,,,,,1,
2019-04-05 23:17:00,2,16,,,2,,,,,,,,2,
2019-04-05 23:18:00,4,7,,,,,1,1,,,,,,
2019-04-05 23:19:00,1,20,,2,1,,1,,,,,,,
2019-04-05 23:20:00,,9,,1,,,,1,,,,,2,
2019-04-05 23:21:00,3,15,,1,3,1,,,,,,,,
2019-04-05 23:22:00,,21,,2,,,,,,,,,,
2019-04-05 23:23:00,6,18,,1,,,,1,,,,,1,
2019-04-05 23:24:00,2,24,,,,2,1,1,1,,,,4,
2019-04-05 23:25:00,,22,,,1,,1,,2,1,,,3,
2019-04-05 23:26:00,2,14,,2,1,,1,1,,,,,3,
2019-04-05 23:27:00,1,19,,,,,1,,,,,,,1
2019-04-05 23:28:00,,21,,,1,3,1,3,,,,,3,
2019-04-05 23:29:00,3,25,,,,,2,5,2,,,,1,
2019-04-05 23:30:00,1,23,,,1,,1,,,,,,,
2019-04-05 23:31:00,,19,,1,1,2,2,4,,,,,2,
2019-04-05 23:32:00,2,22,,2,,,2,,,,,,1,
2019-04-05 23:33:00,2,15,,,1,,2,2,,,,,2,
2019-04-05 23:34:00,3,19,,,2,,,,,,,,1,
2019-04-05 23:35:00,2,13,,1,,1,,1,,,,,,
2019-04-05 23:36:00,1,14,,,1,,1,,1,,,,1,
2019-04-05 23:37:00,1,13,,,1,,,1,3,,,,1,
2019-04-05 23:38:00,1,19,,1,3,,1,,,,,,1,
2019-04-05 23:39:00,,13,,1,2,,3,,,,,,,
2019-04-05 23:40:00,1,12,,1,1,,2,3,,,,,1,
2019-04-05 23:41:00,3,25,,,1,,1,4,,,,,1,
2019-04-05 23:42:00,5,22,,,,1,,1,,,,1,1,
2019-04-05 23:43:00,1,18,,1,,,1,1,1,,,1,,
2019-04-05 23:44:00,1,13,,,2,,,1,,,,,5,
2019-04-05 23:45:00,1,20,,,,2,1,2,,,,,3,
2019-04-05 23:46:00,1,10,,1,1,,1,1,2,,,1,1,
2019-04-05 23:47:00,2,9,,,2,,,1,,,,,,
2019-04-05 23:48:00,5,21,,,1,1,1,2,,,,,2,1
2019-04-05 23:49:00,2,10,,1,1,,,,,,,,3,
2019-04-05 23:50:00,1,15,,,,,,1,,,,,3,
2019-04-05 23:51:00,,16,,,1,,,,,,,,2,
2019-04-05 23:52:00,2,15,,,1,,3,3,,,,,,
2019-04-05 23:53:00,3,18,,,1,,,1,,,,,2,
